"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","273152","Validate_Hana_T1442_OrderPage_AllOrdersView_Today_Non_Deliveries_Delivery_Status_Set_In_Pending_Deliveries_Functionality_Test","Hana POS - Smoke Functional Test Suite","Thu Jun 12 15:21:48 IST 2025","passed","Thu Jun 12 15:26:21 IST 2025","com.hanapos.testcases.All_Orders_Page_Testcases.Hana_T1442_OrderPage_AllOrdersView_Today_Non_Deliveries_Delivery_Status_Set_In_Pending_Deliveries_Functionality_Test","Hana POS - Smoke Functional Test","com.hanapos.testcases.All_Orders_Page_Testcases.Hana_T1442_OrderPage_AllOrdersView_Today_Non_Deliveries_Delivery_Status_Set_In_Pending_Deliveries_Functionality_Test","Validate_Hana_T1442_OrderPage_AllOrdersView_Today_Non_Deliveries_Delivery_Status_Set_In_Pending_Deliveries_Functionality_Test"
"","177569","Validate_Hana_T302_Delivery_Functionality_with_Existing_customer","Hana POS - Smoke Functional Test Suite","Thu Jun 12 15:00:28 IST 2025","passed","Thu Jun 12 15:03:25 IST 2025","com.hanapos.testcases.Order_Entry_Alaise_Phone_Order_Testcases.Delivery_Type.Hana_T302_Delivery_Functionality_with_Existing_customer_FT","Hana POS - Smoke Functional Test","com.hanapos.testcases.Order_Entry_Alaise_Phone_Order_Testcases.Delivery_Type.Hana_T302_Delivery_Functionality_with_Existing_customer_FT","Validate_Hana_T302_Delivery_Functionality_with_Existing_customer"
"Hana_T18 :- Order Confirmation Popup functionality on Cash and Carry Payment Page","109288","Validate_Hana_T18_Order_Confirmation_Popup_Test","Hana POS - Smoke Functional Test Suite","Thu Jun 12 15:07:19 IST 2025","passed","Thu Jun 12 15:09:09 IST 2025","com.hanapos.testcases.CashandCarry_Testcases.Hana_T18_OrderConfirmationPopup_FT","Hana POS - Smoke Functional Test","com.hanapos.testcases.CashandCarry_Testcases.Hana_T18_OrderConfirmationPopup_FT","Validate_Hana_T18_Order_Confirmation_Popup_Test"
"Hana_T1435 :- Verify Phone Order Status Changed to Delivered by Hana Viewers mobile App with existing customer functionality","272764","Validate_Hana_T1435_OrderPage_AllOrders_Verify_Status_is_ChangedTo_Delivered_When_Order_is_Delivered_From_Hana_Viewers_App_Functionality_Test","Hana POS - Smoke Functional Test Suite","Thu Jun 12 15:20:21 IST 2025","passed","Thu Jun 12 15:24:53 IST 2025","com.hanapos.testcases.All_Orders_Page_Testcases.Hana_T1435_OrderPage_AllOrders_Verify_Status_is_ChangedTo_Delivered_When_Order_is_Delivered_From_Hana_Viewers_App_Functionality_Test","Hana POS - Smoke Functional Test","com.hanapos.testcases.All_Orders_Page_Testcases.Hana_T1435_OrderPage_AllOrders_Verify_Status_is_ChangedTo_Delivered_When_Order_is_Delivered_From_Hana_Viewers_App_Functionality_Test","Validate_Hana_T1435_OrderPage_AllOrders_Verify_Status_is_ChangedTo_Delivered_When_Order_is_Delivered_From_Hana_Viewers_App_Functionality_Test"
"","166181","Validate_Hana_T1500_AllOrdersPage_Verify_Status_Displaying_As_Pending_For_PhoneOrder_Functionality_Test","Hana POS - Smoke Functional Test Suite","Thu Jun 12 15:37:25 IST 2025","passed","Thu Jun 12 15:40:12 IST 2025","com.hanapos.testcases.All_Orders_Page_Testcases.Hana_T1500_AllOrdersPage_Verify_Status_Displaying_As_Pending_For_PhoneOrder_Functionality_Test","Hana POS - Smoke Functional Test","com.hanapos.testcases.All_Orders_Page_Testcases.Hana_T1500_AllOrdersPage_Verify_Status_Displaying_As_Pending_For_PhoneOrder_Functionality_Test","Validate_Hana_T1500_AllOrdersPage_Verify_Status_Displaying_As_Pending_For_PhoneOrder_Functionality_Test"
"","235244","Validate_Hana_T65_Payments_Add_New_Customer_Test","Hana POS - Smoke Functional Test Suite","Thu Jun 12 15:12:30 IST 2025","passed","Thu Jun 12 15:16:25 IST 2025","com.hanapos.testcases.CashandCarry_Testcases.Hana_T65_Payment_Add_New_Customer_FT","Hana POS - Smoke Functional Test","com.hanapos.testcases.CashandCarry_Testcases.Hana_T65_Payment_Add_New_Customer_FT","Validate_Hana_T65_Payments_Add_New_Customer_Test"
"Hana_T1470 :- Verify Phone Order Status Changed to Redeliver Flowers Back In Store when Florit Redelivered the Not Delivered Order with existing customer functionality","440645","Validate_Hana_T1470_OrderPage_AllOrders_Verify_Status_is_ChangedTo_RedeliverFlowersBackInStore_When_Florit_Redelivered_the_Not_Delivered_Order_Functionality_Test","Hana POS - Smoke Functional Test Suite","Thu Jun 12 15:30:15 IST 2025","passed","Thu Jun 12 15:37:35 IST 2025","com.hanapos.testcases.All_Orders_Page_Testcases.Hana_T1470_OrderPage_AllOrders_Verify_Status_is_ChangedTo_RedeliverFlowersBackInStore_When_Florit_Redelivered_the_Not_Delivered_Order_Functionality_Test","Hana POS - Smoke Functional Test","com.hanapos.testcases.All_Orders_Page_Testcases.Hana_T1470_OrderPage_AllOrders_Verify_Status_is_ChangedTo_RedeliverFlowersBackInStore_When_Florit_Redelivered_the_Not_Delivered_Order_Functionality_Test","Validate_Hana_T1470_OrderPage_AllOrders_Verify_Status_is_ChangedTo_RedeliverFlowersBackInStore_When_Florit_Redelivered_the_Not_Delivered_Order_Functionality_Test"
"","136476","Validate_Hana_T_EGift_Card_FT","Hana POS - Smoke Functional Test Suite","Thu Jun 12 15:15:32 IST 2025","passed","Thu Jun 12 15:17:49 IST 2025","com.hanapos.testcases.CashandCarry_Testcases.Hana_T_EGift_Card_FT","Hana POS - Smoke Functional Test","com.hanapos.testcases.CashandCarry_Testcases.Hana_T_EGift_Card_FT","Validate_Hana_T_EGift_Card_FT"
"Hana_T1431 :- Verify cash and carry order status with existing customer functionality","103404","Validate_Hana_T1431_OrderPage_AllOrders_Verify_Status_for_Cash_and_Carry_Orders_Functionality_Test","Hana POS - Smoke Functional Test Suite","Thu Jun 12 15:19:57 IST 2025","passed","Thu Jun 12 15:21:40 IST 2025","com.hanapos.testcases.All_Orders_Page_Testcases.Hana_T1431_OrderPage_AllOrders_Verify_Status_for_Cash_and_Carry_Orders_Functionality_Test","Hana POS - Smoke Functional Test","com.hanapos.testcases.All_Orders_Page_Testcases.Hana_T1431_OrderPage_AllOrders_Verify_Status_for_Cash_and_Carry_Orders_Functionality_Test","Validate_Hana_T1431_OrderPage_AllOrders_Verify_Status_for_Cash_and_Carry_Orders_Functionality_Test"
"","155808","Validate_Hana_T283_Add_Proposal_CreateProposalPage_Event_NewCustomer_Functionality_Test","Hana POS - Smoke Functional Test Suite","Thu Jun 12 15:49:06 IST 2025","failed","Thu Jun 12 15:51:42 IST 2025","com.hanapos.testcases.Proposal_TestCases.Event.Hana_T283_Add_Proposal_CreateProposalPage_Event_NewCustomer_Functionality","Hana POS - Smoke Functional Test","com.hanapos.testcases.Proposal_TestCases.Event.Hana_T283_Add_Proposal_CreateProposalPage_Event_NewCustomer_Functionality","Validate_Hana_T283_Add_Proposal_CreateProposalPage_Event_NewCustomer_Functionality_Test"
"Hana_T16 :- Delete the Added Product functionality in Cash and Carry","56738","Validate_Hana_T16_Delete_Product_Test","Hana POS - Smoke Functional Test Suite","Thu Jun 12 15:06:35 IST 2025","passed","Thu Jun 12 15:07:31 IST 2025","com.hanapos.testcases.CashandCarry_Testcases.Hana_T16_Delete_Product_FT","Hana POS - Smoke Functional Test","com.hanapos.testcases.CashandCarry_Testcases.Hana_T16_Delete_Product_FT","Validate_Hana_T16_Delete_Product_Test"
"","356447","Validate_Hana_T1049_Ecommerce_Checkout_Page_Functionality_Test","Hana POS - Smoke Functional Test Suite","Thu Jun 12 15:49:32 IST 2025","failed","Thu Jun 12 15:55:28 IST 2025","com.hanapos.testcases.Ecommerce_Testcases.Hana_T1049_Ecommerce_Checkout_Page_Functionality","Hana POS - Smoke Functional Test","com.hanapos.testcases.Ecommerce_Testcases.Hana_T1049_Ecommerce_Checkout_Page_Functionality","Validate_Hana_T1049_Ecommerce_Checkout_Page_Functionality_Test"
"","214197","Validate_Hana_T43_Payments_Split_Payment_Test","Hana POS - Smoke Functional Test Suite","Thu Jun 12 15:08:30 IST 2025","failed","Thu Jun 12 15:12:05 IST 2025","com.hanapos.testcases.CashandCarry_Testcases.Hana_T43_Payments_Split_Payment_FT","Hana POS - Smoke Functional Test","com.hanapos.testcases.CashandCarry_Testcases.Hana_T43_Payments_Split_Payment_FT","Validate_Hana_T43_Payments_Split_Payment_Test"
"Hana_T33 :- Purchase the product with coupon functionality","63760","Validate_Hana_T33_Purchase_Product_With_Coupon_Test","Hana POS - Smoke Functional Test Suite","Thu Jun 12 15:51:48 IST 2025","passed","Thu Jun 12 15:52:51 IST 2025","com.hanapos.testcases.CashandCarry_Testcases.Hana_T33_Purchase_Product_With_Coupon_FT","Hana POS - Smoke Functional Test","com.hanapos.testcases.CashandCarry_Testcases.Hana_T33_Purchase_Product_With_Coupon_FT","Validate_Hana_T33_Purchase_Product_With_Coupon_Test"
"","115219","Validate_Hana_T61_Payments_GiftCard_Payment_Section_Test","Hana POS - Smoke Functional Test Suite","Thu Jun 12 15:55:00 IST 2025","passed","Thu Jun 12 15:56:55 IST 2025","com.hanapos.testcases.CashandCarry_Testcases.Hana_T61_Payments_GiftCard_Payment_Section_FT","Hana POS - Smoke Functional Test","com.hanapos.testcases.CashandCarry_Testcases.Hana_T61_Payments_GiftCard_Payment_Section_FT","Validate_Hana_T61_Payments_GiftCard_Payment_Section_Test"
"","228378","Validate_Hana_T1044_Orders_AllOrdersPage_ActionMenu_CancelOrder_Functionality_Test","Hana POS - Smoke Functional Test Suite","Thu Jun 12 15:16:27 IST 2025","passed","Thu Jun 12 15:20:15 IST 2025","com.hanapos.testcases.All_Orders_Page_Testcases.Hana_T1044_Orders_AllOrdersPage_ActionMenu_CancelOrder_Functionality","Hana POS - Smoke Functional Test","com.hanapos.testcases.All_Orders_Page_Testcases.Hana_T1044_Orders_AllOrdersPage_ActionMenu_CancelOrder_Functionality","Validate_Hana_T1044_Orders_AllOrdersPage_ActionMenu_CancelOrder_Functionality_Test"
"","166010","Validate_Hana_T455_OrderEntryPage_WireIn_Wire_In_Info_Functionality_Test","Hana POS - Smoke Functional Test Suite","Thu Jun 12 15:03:25 IST 2025","passed","Thu Jun 12 15:06:11 IST 2025","com.hanapos.testcases.Order_Entry_Alaise_Phone_Order_Testcases.WireIn_Type.Hana_T455_OrderEntryPage_WireIn_Wire_In_Info_FT","Hana POS - Smoke Functional Test","com.hanapos.testcases.Order_Entry_Alaise_Phone_Order_Testcases.WireIn_Type.Hana_T455_OrderEntryPage_WireIn_Wire_In_Info_FT","Validate_Hana_T455_OrderEntryPage_WireIn_Wire_In_Info_Functionality_Test"
