"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Hana_T1233 :- Customer With Order Delete Functionality Test","397983","Validate_Hana_T1233_Customer_With_Order_Delete_Functionality_Test","Hana POS - Regression Functional Test Suite","Thu Aug 07 00:38:18 IST 2025","passed","Thu Aug 07 00:44:56 IST 2025","com.hanapos.testcases.CustomerModule_TestCases.Hana_T1233_Customer_With_Order_Delete_Functionality_Test","Hana POS - Regression Functional Test","com.hanapos.testcases.CustomerModule_TestCases.Hana_T1233_Customer_With_Order_Delete_Functionality_Test","Validate_Hana_T1233_Customer_With_Order_Delete_Functionality_Test"
"","169972","Validate_Hana_T385_OrderDetailsSection_Functionality_Test","Hana POS - Regression Functional Test Suite","Wed Aug 06 20:05:51 IST 2025","passed","Wed Aug 06 20:08:41 IST 2025","com.hanapos.testcases.Order_Entry_Alaise_Phone_Order_Testcases.Delivery_Type.Hana_T385_OrderDetailsSection_Functionality","Hana POS - Regression Functional Test","com.hanapos.testcases.Order_Entry_Alaise_Phone_Order_Testcases.Delivery_Type.Hana_T385_OrderDetailsSection_Functionality","Validate_Hana_T385_OrderDetailsSection_Functionality_Test"
"","232012","Validate_Hana_T1453_OrdersPage_AllOrdersPage_Verify_Status_displaying_as_Cancelled_when_florist_cancelled_the_order_Functionality_Test","Hana POS - Regression Functional Test Suite","Wed Aug 06 23:51:17 IST 2025","passed","Wed Aug 06 23:55:09 IST 2025","com.hanapos.testcases.All_Orders_Page_Testcases.Hana_T1453_OrdersPage_AllOrdersPage_Verify_Status_displaying_as_Cancelled_when_florist_cancelled_the_order_Functionality_Test","Hana POS - Regression Functional Test","com.hanapos.testcases.All_Orders_Page_Testcases.Hana_T1453_OrdersPage_AllOrdersPage_Verify_Status_displaying_as_Cancelled_when_florist_cancelled_the_order_Functionality_Test","Validate_Hana_T1453_OrdersPage_AllOrdersPage_Verify_Status_displaying_as_Cancelled_when_florist_cancelled_the_order_Functionality_Test"
"","230074","Validate_Hana_T976_Advance_Dispatch_Trip_Section_Add_Pay_Rate_Functionality_Test","Hana POS - Regression Functional Test Suite","Thu Aug 07 02:02:53 IST 2025","passed","Thu Aug 07 02:06:43 IST 2025","com.hanapos.testcases.Advance_Dispatch_Testcases.Hana_T976_Advance_Dispatch_Trip_Section_Add_Pay_Rate_Functionality_Test","Hana POS - Regression Functional Test","com.hanapos.testcases.Advance_Dispatch_Testcases.Hana_T976_Advance_Dispatch_Trip_Section_Add_Pay_Rate_Functionality_Test","Validate_Hana_T976_Advance_Dispatch_Trip_Section_Add_Pay_Rate_Functionality_Test"
"","196837","Pre_requiste_First_Order_for_Hana_T754_Quick_Dispatch_Trip_Section_New_Trip_Modified_Trip_Functionality","Hana POS - Regression Functional Test Suite","Thu Aug 07 03:57:16 IST 2025","passed","Thu Aug 07 04:00:33 IST 2025","com.hanapos.testcases.Quick_Dispatch_Testcases.Hana_T754_Quick_Dispatch_Trip_Section_New_Trip_Modified_Trip_Functionality","Hana POS - Regression Functional Test","com.hanapos.testcases.Quick_Dispatch_Testcases.Hana_T754_Quick_Dispatch_Trip_Section_New_Trip_Modified_Trip_Functionality","Pre_requiste_First_Order_for_Hana_T754_Quick_Dispatch_Trip_Section_New_Trip_Modified_Trip_Functionality"
"","252055","Validate_Hana_T520_OrderEntryPage_WireOut_Functionality_with_New_customer_Functionality_Test","Hana POS - Regression Functional Test Suite","Wed Aug 06 21:22:08 IST 2025","passed","Wed Aug 06 21:26:20 IST 2025","com.hanapos.testcases.Order_Entry_Alaise_Phone_Order_Testcases.WireOut_Type.Hana_T520_OrderEntryPage_WireOut_Functionality_with_New_customer_FT","Hana POS - Regression Functional Test","com.hanapos.testcases.Order_Entry_Alaise_Phone_Order_Testcases.WireOut_Type.Hana_T520_OrderEntryPage_WireOut_Functionality_with_New_customer_FT","Validate_Hana_T520_OrderEntryPage_WireOut_Functionality_with_New_customer_Functionality_Test"
"Hana_T1431 :- Verify cash and carry order status with existing customer functionality","185557","Validate_Hana_T1431_OrderPage_AllOrders_Verify_Status_for_Cash_and_Carry_Orders_Functionality_Test","Hana POS - Regression Functional Test Suite","Wed Aug 06 23:41:18 IST 2025","failed","Wed Aug 06 23:44:23 IST 2025","com.hanapos.testcases.All_Orders_Page_Testcases.Hana_T1431_OrderPage_AllOrders_Verify_Status_for_Cash_and_Carry_Orders_Functionality_Test","Hana POS - Regression Functional Test","com.hanapos.testcases.All_Orders_Page_Testcases.Hana_T1431_OrderPage_AllOrders_Verify_Status_for_Cash_and_Carry_Orders_Functionality_Test","Validate_Hana_T1431_OrderPage_AllOrders_Verify_Status_for_Cash_and_Carry_Orders_Functionality_Test"
"","265861","Validate_Hana_T1285_Configuration_Settings_Inventory_Management_Inventory_Settings_Enable_Inventory_Toggle_button_and_verify_in_CashandCarry_On_Functionality_Test","Hana POS - Regression Functional Test Suite","Thu Aug 07 04:41:11 IST 2025","passed","Thu Aug 07 04:45:37 IST 2025","com.hanapos.testcases.Configuration_Settings_Testcases.Inventory_Management.Hana_Configuration_Settings_Inventory_Management_Inventory_Settings_Inventory_Toggle_button_Functionality_Test","Hana POS - Regression Functional Test","com.hanapos.testcases.Configuration_Settings_Testcases.Inventory_Management.Hana_Configuration_Settings_Inventory_Management_Inventory_Settings_Inventory_Toggle_button_Functionality_Test","Validate_Hana_T1285_Configuration_Settings_Inventory_Management_Inventory_Settings_Enable_Inventory_Toggle_button_and_verify_in_CashandCarry_On_Functionality_Test"
"","111700","Validate_Hana_T420_ProductSection_ItemDetails_Functionality_Test","Hana POS - Regression Functional Test Suite","Wed Aug 06 20:20:57 IST 2025","passed","Wed Aug 06 20:22:49 IST 2025","com.hanapos.testcases.Order_Entry_Alaise_Phone_Order_Testcases.Delivery_Type.Hana_T420_ProductSection_ItemDetails_Functionality","Hana POS - Regression Functional Test","com.hanapos.testcases.Order_Entry_Alaise_Phone_Order_Testcases.Delivery_Type.Hana_T420_ProductSection_ItemDetails_Functionality","Validate_Hana_T420_ProductSection_ItemDetails_Functionality_Test"
"Hana T1593 :- Hana_T1593_HanaPOS_Orders_Cancel_Order_Credit_Reverse_Over_Charges_Functionality","168895","Validate_Hana_T1593_HanaPOS_Orders_Cancel_Order_Credit_Reverse_Over_Charges_Functionality","Hana POS - Regression Functional Test Suite","Thu Aug 07 00:27:54 IST 2025","passed","Thu Aug 07 00:30:43 IST 2025","com.hanapos.testcases.All_Orders_Page_Testcases.Hana_T1593_HanaPOS_Orders_Cancel_Order_Credit_Reverse_Over_Charges_Functionality","Hana POS - Regression Functional Test","com.hanapos.testcases.All_Orders_Page_Testcases.Hana_T1593_HanaPOS_Orders_Cancel_Order_Credit_Reverse_Over_Charges_Functionality","Validate_Hana_T1593_HanaPOS_Orders_Cancel_Order_Credit_Reverse_Over_Charges_Functionality"
